[INFO] Obtaining list of iovs for globaltag data_reprocessing_prompt [filter=KLMChannelStatus]
--------------------------------------------------------------------------------
Name                                            Rev  First  First  Final  Final
                                                     Exp    Run    Exp    Run
--------------------------------------------------------------------------------
KLMChannelStatus                                1859 10     4314   10     4314
KLMChannelStatus                                1860 10     4315   10     4315
KLMChannelStatus                                1861 10     4316   10     4317
KLMChannelStatus                                1862 10     4318   10     4318
KLMChannelStatus                                1863 10     4319   10     4319
KLMChannelStatus                                1864 10     4320   10     4322
KLMChannelStatus                                1865 10     4323   10     4323
KLMChannelStatus                                1866 10     4324   10     4325
KLMChannelStatus                                1867 10     4326   10     4326
KLMChannelStatus                                1868 10     4327   10     4327
KLMChannelStatus                                1869 10     4328   10     4328
KLMChannelStatus                                1870 10     4329   10     4332
KLMChannelStatus                                1871 10     4333   10     4334
KLMChannelStatus                                1872 10     4335   10     4395
KLMChannelStatus                                1873 10     4396   10     4396
KLMChannelStatus                                1874 10     4397   10     4397
KLMChannelStatus                                1875 10     4398   10     4398
KLMChannelStatus                                1876 10     4399   10     4407
KLMChannelStatus                                1877 10     4408   10     4410
KLMChannelStatus                                1878 10     4411   10     4411
KLMChannelStatus                                1879 10     4412   10     4413
KLMChannelStatus                                1880 10     4414   10     4443
KLMChannelStatus                                1881 10     4444   10     4451
KLMChannelStatus                                1882 10     4452   10     4452
KLMChannelStatus                                1883 10     4453   10     4453
KLMChannelStatus                                1884 10     4454   10     4456
KLMChannelStatus                                1885 10     4457   10     4458
KLMChannelStatus                                1886 10     4459   10     4462
KLMChannelStatus                                1887 10     4463   10     4463
KLMChannelStatus                                1888 10     4464   10     4464
KLMChannelStatus                                1889 10     4465   10     4466
KLMChannelStatus                                1890 10     4467   10     4467
KLMChannelStatus                                1891 10     4468   10     4553
KLMChannelStatus                                1892 10     4554   10     4554
KLMChannelStatus                                1893 10     4555   10     4555
KLMChannelStatus                                1894 10     4556   10     4556
KLMChannelStatus                                1895 10     4557   10     4600
KLMChannelStatus                                1896 10     4601   10     4601
KLMChannelStatus                                1897 10     4602   10     4602
KLMChannelStatus                                1898 10     4603   10     4609
KLMChannelStatus                                1899 10     4610   10     4612
KLMChannelStatus                                1900 10     4613   10     4613
KLMChannelStatus                                1901 10     4614   10     4614
KLMChannelStatus                                1902 10     4615   10     4615
KLMChannelStatus                                1903 10     4616   10     4616
KLMChannelStatus                                1904 10     4617   10     4617
KLMChannelStatus                                1905 10     4618   10     4658
KLMChannelStatus                                1906 10     4659   10     4659
KLMChannelStatus                                1907 10     4660   10     4661
KLMChannelStatus                                1908 10     4662   10     4663
KLMChannelStatus                                1909 10     4664   10     4664
KLMChannelStatus                                4    10     4665   10     4668
KLMChannelStatus                                1910 10     4669   10     4669
KLMChannelStatus                                1911 10     4670   10     4670
KLMChannelStatus                                1912 10     4671   10     4671
KLMChannelStatus                                1913 10     4672   10     4672
KLMChannelStatus                                1914 10     4673   10     4676
KLMChannelStatus                                1915 10     4677   10     4677
KLMChannelStatus                                1916 10     4678   10     4696
KLMChannelStatus                                1917 10     4697   10     4697
KLMChannelStatus                                1918 10     4698   10     4698
KLMChannelStatus                                1919 10     4699   10     4699
KLMChannelStatus                                1920 10     4700   10     4700
KLMChannelStatus                                1921 10     4701   10     4701
KLMChannelStatus                                1922 10     4702   10     4702
KLMChannelStatus                                1923 10     4703   10     4703
KLMChannelStatus                                1924 10     4704   10     4704
KLMChannelStatus                                1925 10     4705   10     4705
KLMChannelStatus                                1926 10     4706   10     4706
KLMChannelStatus                                1927 10     4707   10     4707
KLMChannelStatus                                1928 10     4708   10     4708
KLMChannelStatus                                1929 10     4709   10     4711
KLMChannelStatus                                1930 10     4712   10     4712
KLMChannelStatus                                1931 10     4713   10     4713
KLMChannelStatus                                1932 10     4714   10     4714
KLMChannelStatus                                1933 10     4715   10     4715
KLMChannelStatus                                1934 10     4716   10     4717
KLMChannelStatus                                1935 10     4718   10     4718
KLMChannelStatus                                1936 10     4719   10     4719
KLMChannelStatus                                1937 10     4720   10     4720
